model,difficulty,context_length,evidence_position,total_samples,correct,accuracy,failed_requests
llama3.2:1b,easy,long,beginning,20,20,1.0,0
llama3.2:1b,easy,long,end,20,15,0.75,0
llama3.2:1b,easy,long,middle,20,19,0.95,0
llama3.2:1b,easy,medium,beginning,20,18,0.9,0
llama3.2:1b,easy,medium,end,20,16,0.8,0
llama3.2:1b,easy,medium,middle,20,19,0.95,0
llama3.2:1b,easy,short,beginning,20,18,0.9,0
llama3.2:1b,easy,short,end,20,17,0.85,0
llama3.2:1b,easy,short,middle,20,19,0.95,0
llama3.2:1b,hard,long,beginning,20,12,0.6,0
llama3.2:1b,hard,long,end,20,2,0.1,0
llama3.2:1b,hard,long,middle,20,0,0.0,0
llama3.2:1b,hard,medium,beginning,20,14,0.7,0
llama3.2:1b,hard,medium,end,20,2,0.1,0
llama3.2:1b,hard,medium,middle,20,1,0.05,0
llama3.2:1b,hard,short,beginning,20,20,1.0,0
llama3.2:1b,hard,short,end,20,9,0.45,0
llama3.2:1b,hard,short,middle,20,7,0.35,0
llama3.2:1b,medium,long,beginning,20,19,0.95,0
llama3.2:1b,medium,long,end,20,14,0.7,0
llama3.2:1b,medium,long,middle,20,14,0.7,0
llama3.2:1b,medium,medium,beginning,20,18,0.9,0
llama3.2:1b,medium,medium,end,20,13,0.65,0
llama3.2:1b,medium,medium,middle,20,19,0.95,0
llama3.2:1b,medium,short,beginning,20,18,0.9,0
llama3.2:1b,medium,short,end,20,16,0.8,0
llama3.2:1b,medium,short,middle,20,18,0.9,0
llama3.2:3b,easy,long,beginning,20,20,1.0,0
llama3.2:3b,easy,long,end,20,19,0.95,0
llama3.2:3b,easy,long,middle,20,20,1.0,0
llama3.2:3b,easy,medium,beginning,20,20,1.0,0
llama3.2:3b,easy,medium,end,20,20,1.0,0
llama3.2:3b,easy,medium,middle,20,20,1.0,0
llama3.2:3b,easy,short,beginning,20,20,1.0,0
llama3.2:3b,easy,short,end,20,20,1.0,0
llama3.2:3b,easy,short,middle,20,20,1.0,0
llama3.2:3b,hard,long,beginning,20,3,0.15,0
llama3.2:3b,hard,long,end,20,2,0.1,0
llama3.2:3b,hard,long,middle,20,5,0.25,0
llama3.2:3b,hard,medium,beginning,20,4,0.2,0
llama3.2:3b,hard,medium,end,20,2,0.1,0
llama3.2:3b,hard,medium,middle,20,14,0.7,0
llama3.2:3b,hard,short,beginning,20,16,0.8,0
llama3.2:3b,hard,short,end,20,13,0.65,0
llama3.2:3b,hard,short,middle,20,18,0.9,0
llama3.2:3b,medium,long,beginning,20,20,1.0,0
llama3.2:3b,medium,long,end,20,20,1.0,0
llama3.2:3b,medium,long,middle,20,20,1.0,0
llama3.2:3b,medium,medium,beginning,20,20,1.0,0
llama3.2:3b,medium,medium,end,20,20,1.0,0
llama3.2:3b,medium,medium,middle,20,20,1.0,0
llama3.2:3b,medium,short,beginning,20,20,1.0,0
llama3.2:3b,medium,short,end,20,20,1.0,0
llama3.2:3b,medium,short,middle,20,20,1.0,0
tinyllama,easy,long,beginning,20,0,0.0,0
tinyllama,easy,long,end,20,19,0.95,0
tinyllama,easy,long,middle,20,0,0.0,0
tinyllama,easy,medium,beginning,20,20,1.0,0
tinyllama,easy,medium,end,20,20,1.0,0
tinyllama,easy,medium,middle,20,17,0.85,0
tinyllama,easy,short,beginning,20,19,0.95,0
tinyllama,easy,short,end,20,12,0.6,0
tinyllama,easy,short,middle,20,1,0.05,0
tinyllama,hard,long,beginning,20,0,0.0,0
tinyllama,hard,long,end,20,3,0.15,0
tinyllama,hard,long,middle,20,0,0.0,0
tinyllama,hard,medium,beginning,20,10,0.5,0
tinyllama,hard,medium,end,20,3,0.15,0
tinyllama,hard,medium,middle,20,0,0.0,0
tinyllama,hard,short,beginning,20,11,0.55,0
tinyllama,hard,short,end,20,2,0.1,0
tinyllama,hard,short,middle,20,2,0.1,0
tinyllama,medium,long,beginning,20,0,0.0,0
tinyllama,medium,long,end,20,0,0.0,0
tinyllama,medium,long,middle,20,0,0.0,0
tinyllama,medium,medium,beginning,20,18,0.9,0
tinyllama,medium,medium,end,20,17,0.85,0
tinyllama,medium,medium,middle,20,2,0.1,0
tinyllama,medium,short,beginning,20,1,0.05,0
tinyllama,medium,short,end,20,10,0.5,0
tinyllama,medium,short,middle,20,0,0.0,0
